n	name	score	cards	games	flags	short	alt1
184	Azumarill	9.36	5	2		The bubble-like pattern on its stomach helps it camouflage itself when it's in the water.	Its long ears are superb sensors. It can distinguish the movements of things in water and tell what they are.
185	Sudowoodo	8.1	3	5		It disguises itself as a tree to avoid attack.	Although it always pretends to be a tree, its composition appears more similar to rock than to vegetation.
186	Politoed	9.9	4	4		Whenever three or more of these get together, they sing in a loud voice that sounds like bellowing.	It gathers groups of others as their leader. Its cries make Poliwag obey.
187	Hoppip	10.42	6	8		It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.	Its body is so light, it must grip the ground firmly with its feet to keep from being blown away.
188	Skiploom	9.9	4	4		It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.	The bloom on top of its head opens and closes as the temperature fluctuates up and down.
189	Jumpluff	7.9	3	2		Even in the fiercest wind, it can control its fluff to make its way to any place in the world it wants.	Blown by seasonal winds, it circles the globe, scattering cotton spores as it goes.
190	Aipom	9.1	3	4		Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.	It lives atop tall trees. When leaping from branch to branch, it deftly uses its tail for balance.
191	Sunkern	7.06	2	4		It lives by drinking only dewdrops from under the leaves of plants.	It suddenly falls out of the sky in the morning.
192	Sunflora	8.4	3	6		It gets energy from warm sunlight and is known for its habit of moving in pursuit of it.	It converts sunlight into energy. In the darkness after sunset, it closes its petals and becomes still.
193	Yanma	11.6	7	4		If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.	Its eyes can see 360 degrees without moving its head.
194	Wooper	7.46	2	3		When it walks around on the ground, it coats its body with a slimy, poisonous film.	This Pokémon lives in cold water. It will leave the water to search for food when it gets cold outside.
195	Quagsire	8.5	3	3		Due to its relaxed and carefree attitude, it often bumps its head on boulders and boat hulls as it swims.	It has an easygoing nature. It doesn't care if it bumps its head on boats and boulders while swimming.
196	Espeon	8.5	3	3		It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.	Its fur is so sensitive, it can sense minute shifts in the air and predict the weather.
197	Umbreon	8.6	4	3		When exposed to the moon's aura, the rings on its body glow faintly and it gains a mysterious power.	When agitated, this Pokémon protects itself by spraying poisonous sweat from its pores.
198	Murkrow	11.6	7	4		Feared and loathed by many, it is believed to bring misfortune to all those who see it at night.	It is said that when chased, it lures its attacker onto dark mountain trails where the foe will get lost.
199	Slowking	8.06	2	4		It has incredible intellect and intuition. Whatever the situation, it remains calm and collected.	When its head was bitten, toxins entered Slowpoke's head and unlocked an extraordinary power.
200	Misdreavus	9.96	5	3		It loves to bite and yank people's hair from behind without warning, just to see their shocked reactions.	It likes playing mischievous tricks such as screaming and wailing to startle people at night.
201	Unown	13.95	25	2		Shaped like ancient writing, it is a huge mystery whether language or Unown came first.	Their shapes look like hieroglyphs on ancient tablets.
202	Wobbuffet	9.56	5	5		To keep its pitch-black tail hidden, it lives quietly in the darkness.	It hates light and shock. If attacked, it inflates its body to build up its counterstrike.
203	Girafarig	7.2	3	2		Its tail has a small brain of its own. Beware! If you get close, it may react to your scent by biting.	Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite.
204	Pineco	10.42	8	3		It likes to make its shell thicker by adding layers of tree bark.	It looks just like a pinecone. Its shell protects it from bird Pokémon that peck it by mistake.
205	Forretress	7.36	2	8		It is encased in a steel shell. Its peering eyes are all that can be seen of its mysterious innards.	Its entire body is shielded by a steel-hard shell.
206	Dunsparce	9.1	3	4		When spotted, this Pokémon escapes backward by furiously boring into the ground with its tail.	It digs into the ground with its tail and makes a mazelike nest.
207	Gligar	11.6	7	4		It flies straight at its target's face, then clamps down on the startled victim to inject poison.	It usually clings to cliffs. When it spots its prey, it spreads its wings and glides down to attack.
208	Steelix	9.2	4	4		It is thought its body transformed as a result of iron accumulating internally from swallowing soil.	Tempered underground under high pressure and heat, its body is harder than any metal.
209	Snubbull	9.9	4	4		It has an active, playful nature. Many women like to frolic with it because of its affectionate ways.	Small Pokémon flee from its scary face. It is, however, considered by women to be cute.
210	Granbull	7.36	2	8		It is timid in spite of its looks. If it becomes enraged, however, it will strike with its huge fangs.	Because its fangs are too heavy, it always keeps its head tilted down.
211	Qwilfish	9.9	4	4		To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once.	The small spikes covering its body developed from scales.
212	Scizor	7.46	2	3		Its wings are not used for flying. They are flapped at high speed to adjust its body temperature.	It swings its eye patterned pincers up to scare its foes.
213	Shuckle	11.12	6	5		It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.	The Berries it stores in its vaselike shell decompose and become a gooey liquid.
214	Heracross	8.3	3	4	deictic	This powerful Pokémon thrusts its prized horn under its enemies' bellies, then lifts and throws them.	With its Herculean powers, it can easily throw around an object that is 100 times its own weight.
215	Sneasel	9.9	4	5		Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.	It feeds on eggs stolen from nests. Its sharply hooked claws rip vulnerable spots on prey.
216	Teddiursa	9.9	4	4		Before food becomes scarce in wintertime, its habit is to hoard food in many hidden locations.	If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey.
217	Ursaring	8.4	3	7		In its territory, it leaves scratches on trees that bear delicious berries or fruits.	Although it has a large body, it is quite skilled at climbing trees.
218	Slugma	10.9	7	8		Its body is made of magma. If it doesn't keep moving, its body will cool and harden.	A common sight in volcanic areas, it slowly slithers around in a constant search for warm places.
219	Magcargo	9.9	4	4		Its brittle shell occasionally spouts intense flames that circulate throughout its body.	Its body is as hot as lava and is always billowing.
220	Swinub	8.1	3	5		It rubs its snout on the ground to find and dig up food.	If it smells something enticing, it dashes off headlong to find the source of the aroma.
221	Piloswine	9.1	3	4		Because the long hair all over its body obscures its sight, it just keeps charging repeatedly.	If it charges at an enemy, the hairs on its back stand up straight.
222	Corsola	7.36	2	5		Many live in the clean seas of the south. They apparently can't live in polluted waters.	It continuously sheds and grows. The tip of its head is prized as a treasure because of its beauty.
223	Remoraid	7.9	4	5	names:Mantine	Using its dorsal fin as a suction pad, it clings to a Mantine's underside to scavenge for leftovers.	It has superb accuracy. The water it shoots out can strike even moving prey from more than 300 feet.
224	Octillery	10.52	6	3		It traps enemies with its suction cupped tentacles then smashes them with its rockhard head.	It traps foes with the suction cups on its tentacles, then smashes them with its rock-hard head.
225	Delibird	7.46	2	3		It carries food all day long. There are tales about lost people who were saved by the food it had.	It carries food rolled up in its tail. It has the habit of sharing food with people lost in mountains.
226	Mantine	6.0	1	3		Swimming freely in open seas, it may fly out of the water and over the waves if it builds up enough speed.	If it builds up enough speed swimming, it can jump out above the waves and glide for over 300 feet.
227	Skarmory	9.9	4	4		After nesting in bramble bushes, the wings of its chicks grow hard from scratches by thorns.	Despite being clad entirely in iron-hard armor, it flies at speeds over 180 mph.
228	Houndour	10.56	5	4		To corner prey, they check each other's location using barks that only they can understand.	It is smart enough to hunt in packs. It uses a variety of cries for communicating with others.
